,Image Name,Prediction
58,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 5.409274.png,1
59,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 3.827857.png,1
60,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215048.wav at 9.088716.png,1
61,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184510.wav at 12.327377.png,3
62,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 0.9661280000000001.png,1
63,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 7.917725.png,1
64,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_185242.wav at 1.24127.png,1
65,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221556.wav at 0.5356529999999999.png,3
66,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 6.070615.png,3
67,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 2.962483.png,3
68,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202455.wav at 2.350864.png,1
69,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 5.37102.png,1
70,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 11.412803.png,3
71,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 3.671294.png,4
72,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184907.wav at 4.770632.png,3
73,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_210037.wav at 2.866645.png,1
74,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223847.wav at 5.89254.png,1
75,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213625.wav at 4.7435599999999996.png,1
76,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 7.388485.png,1
77,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_222030.wav at 5.418564.png,1
78,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_185242.wav at 2.8594049999999998.png,1
